name,username,designation,email,phone,super_admin,status
Krishna Prasad Varma,kpvarma,Site Admin,prasad@rightsolutions.io,,TRUE,approved
Vinodh Ellath,vinodh,Site Admin,vinodh@rightsolutions.io,,TRUE,approved
Junaid Ramzan,junaid.ramzan,Site Admin,junaid.ramzan@gmail.com,,TRUE,approved
Oleksandra,oleksandra,Merchandise Manager,oleksandra@yopmail.com,,FALSE,approved
Staff User 1,staff_user.1,IT Support,staff_user_1@yopmail.com,,FALSE,pending
Staff User 2,staff_user.2,Sales Girl,staff_user_2@yopmail.com,,FALSE,suspended
Stephen Price,stephen.price,General Manager,stephen.price@yopmail.com,,FALSE,approved
Angelo Joseph,angelo.joseph,General Manager,angelo.joseph@yopmail.com,,FALSE,approved
Gunashekharan,guna.neweast,IT Admin,guna.neweast@yopmail.com,,FALSE,approved
Silk Smitha,silk.smitha,QA Analyst,silk.smitha@yopmail.com,,FALSE,approved
